@lpm0	lpm1	lpm2	lpm3	lpm4	lpm5	lpm6	lpm7	lpm8	lfp0	lfp1	lfp2	lfp3	lfp4	lfp5	lfp6	lfp7	lfp8	llcusd@
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.732107412	4.575038087	4.639416749	4.129789448	4.833854851	4.595291944	4.707769927	4.644201447	4.646585238	-0.227522625
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.75294971	4.669190368	4.692528651	4.157971121	4.830232411	4.626990014	4.733212227	4.636794014	4.67154886	-0.247247993
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.788459184	4.666142862	4.720405721	4.167224585	4.885562015	4.661173908	4.76291643	4.688202581	4.690623889	-0.306332652
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.800191917	4.886835309	4.728119569	4.211742781	4.926523057	4.693112977	4.794657869	4.696791706	4.693112977	-0.332231143
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.764135519	4.614858326	4.715627164	4.212660127	4.913604618	4.657145216	4.768634964	4.672089454	4.663399145	-0.320460118
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.783846724	4.529026316	4.727735842	4.206252923	4.919047101	4.678238714	4.801507227	4.69541705	4.694199765	-0.324453808
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.784892831	4.556115462	4.740083497	4.137857002	4.915329552	4.682026082	4.808214265	4.702975708	4.705411763	-0.336036671
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.751011534	4.697758212	4.727051461	4.085659362	4.885810444	4.635199498	4.777709449	4.674906947	4.65649022	-0.32405827
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.759062925	4.616811699	4.720769958	4.122828579	4.898103973	4.634488927	4.79487793	4.671348136	4.673757776	-0.307521308
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.786833128	4.603408428	4.727792147	4.129423373	4.950233698	4.648723624	4.809722411	4.702924081	4.705319291	-0.331153128
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.78364758	4.641057722	4.712516686	4.13278312	4.908419792	4.658779705	4.788067476	4.687229366	4.699350727	-0.338110057
-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	4.759908226	4.575125543	4.684510209	4.163593682	4.879799528	4.619811032	4.772123814	4.685714303	4.685714303	-0.315928609
4.533116187	4.383450594	4.414295269	3.87262497	4.659620876	4.471064199	4.533116187	4.547534563	4.462194961	4.748067458	4.626778845	4.716210384	4.209230919	4.925149482	4.660343214	4.78651261	4.674906578	4.695181572	-0.291455985
4.55909901	4.422019417	4.400461696	3.912377926	4.602562142	4.4535089	4.549757998	4.544530594	4.48737218	4.755588115	4.635585322	4.721763019	4.210555059	4.935689915	4.648007842	4.777518818	4.685565255	4.705577694	-0.267106672
4.550826249	4.411744703	4.439046102	3.96010334	4.612743536	4.489284977	4.542414001	4.560206203	4.48817077	4.741024761	4.628679931	4.698756904	4.247937961	4.894216208	4.638642654	4.751041539	4.678720878	4.682285944	-0.256204077
4.586610281	4.412452034	4.391502408	4.00576667	4.711652876	4.499971413	4.543694224	4.566951086	4.494369157	4.740660355	4.590914968	4.65545349	4.292923526	4.887213657	4.643361444	4.735126306	4.645791579	4.662639149	-0.228473355
4.591432028	4.424561767	4.468961583	3.975133536	4.71403435	4.49713246	4.545922624	4.572033768	4.504880147	4.734634754	4.618629983	4.640528668	4.252953125	4.878246602	4.601259819	4.719181908	4.625982957	4.642932515	-0.223161176
