@lpm0	lpm1	lpm2	lpm3	lpm4	lpm5	lpm6	lpm7	lpm8	lfp0	lfp1	lfp2	lfp3	lfp4	lfp5	lfp6	lfp7	lfp8	llcusd@
4.537294226	4.512333624	4.497944887	3.901424542	4.445301154	4.534073611	4.538365463	4.5447689	4.449990494	4.732107412	4.575038087	4.639416749	4.129789448	4.833854851	4.595291944	4.707769927	4.644201447	4.646585238	-0.214294321
4.533797328	4.469258807	4.524051717	3.925324024	4.444824781	4.555120097	4.543448877	4.515308492	4.450696789	4.75294971	4.669190368	4.692528651	4.157971121	4.830232411	4.626990014	4.733212227	4.636794014	4.67154886	-0.226724079
4.543866356	4.431388373	4.504815841	3.859193802	4.402400836	4.534245758	4.529940046	4.525615715	4.434953439	4.788459184	4.666142862	4.720405721	4.167224585	4.885562015	4.661173908	4.76291643	4.688202581	4.690623889	-0.274832714
4.53532427	4.478478366	4.507305196	3.918862578	4.419399231	4.527857569	4.53319661	4.495210491	4.424161145	4.800191917	4.886835309	4.728119569	4.211742781	4.926523057	4.693112977	4.794657869	4.696791706	4.693112977	-0.30277148
4.522978126	4.532755499	4.50313183	3.915567857	4.406149875	4.531673833	4.528421798	4.495306189	4.417132291	4.764135519	4.614858326	4.715627164	4.212660127	4.913604618	4.657145216	4.768634964	4.672089454	4.663399145	-0.273328776
4.5043674	4.413132789	4.519701764	3.877413001	4.369889486	4.526202329	4.538011376	4.487672522	4.419160535	4.783846724	4.529026316	4.727735842	4.206252923	4.919047101	4.678238714	4.801507227	4.69541705	4.694199765	-0.288348561
4.497149587	4.409535982	4.513570317	3.804002406	4.330597082	4.53186023	4.535053421	4.489393315	4.422701941	4.784892831	4.556115462	4.740083497	4.137857002	4.915329552	4.682026082	4.808214265	4.702975708	4.705411763	-0.305561087
4.474914675	4.442875322	4.535009215	3.765876127	4.332333447	4.508140323	4.533948207	4.494982238	4.418153639	4.751011534	4.697758212	4.727051461	4.085659362	4.885810444	4.635199498	4.777709449	4.674906947	4.65649022	-0.27722362
4.492838371	4.473811496	4.518017589	3.849431173	4.420434557	4.518017589	4.559315146	4.495053211	4.43932532	4.759062925	4.616811699	4.720769958	4.122828579	4.898103973	4.634488927	4.79487793	4.671348136	4.673757776	-0.26290413
4.499076239	4.52098292	4.507896583	3.824580175	4.408737072	4.510089566	4.56028697	4.497968206	4.452608956	4.786833128	4.603408428	4.727792147	4.129423373	4.950233698	4.648723624	4.809722411	4.702924081	4.705319291	-0.283336993
4.503492609	4.482532106	4.496920844	3.834079013	4.376799913	4.518660831	4.537830747	4.47918202	4.436914163	4.78364758	4.641057722	4.712516686	4.13278312	4.908419792	4.658779705	4.788067476	4.687229366	4.699350727	-0.294448782
4.486705667	4.433070451	4.496655998	3.868459795	4.378872962	4.530190779	4.539719702	4.522716105	4.430723032	4.759908226	4.575125543	4.684510209	4.163593682	4.879799528	4.619811032	4.772123814	4.685714303	4.685714303	-0.278773604
4.472084853	4.431872658	4.504220582	3.905689378	4.416515002	4.521518311	4.536412203	4.491048054	4.455048666	4.748067458	4.626778845	4.716210384	4.209230919	4.925149482	4.660343214	4.78651261	4.674906578	4.695181572	-0.270367767
4.498818023	4.428093004	4.472030707	3.933680409	4.451458553	4.549284984	4.531323593	4.520605377	4.4595092	4.755588115	4.635585322	4.721763019	4.210555059	4.935689915	4.648007842	4.777518818	4.685565255	4.705577694	-0.263399951
4.506689978	4.441351428	4.41301423	3.997317315	4.386313615	4.50559887	4.51645674	4.532525645	4.463229099	4.741024761	4.628679931	4.698756904	4.247937961	4.894216208	4.638642654	4.751041539	4.678720878	4.682285944	-0.25973648
4.520588777	4.44152703	4.386751434	4.031998055	4.429871886	4.506572375	4.511986573	4.515221077	4.447304053	4.740660355	4.590914968	4.65545349	4.292923526	4.887213657	4.643361444	4.735126306	4.645791579	4.662639149	-0.25050871
4.518086061	4.474074558	4.393281663	3.990252609	4.411409047	4.508350992	4.510522546	4.509437359	4.443232593	4.734634754	4.618629983	4.640528668	4.252953125	4.878246602	4.601259819	4.719181908	4.625982957	4.642932515	-0.233921551
4.525631833	4.45349852	4.400325925	3.979574673	4.437256864	4.534160669	4.499599994	4.51810896	4.454648606	4.752687044	4.618692224	4.658673321	4.220002627	4.895499558	4.627307662	4.72083372	4.634633702	4.653911407	-0.236737912
4.496299654	4.459320651	4.3932589	3.984740355	4.42919091	4.537253653	4.480778278	4.503970925	4.469542205	4.749279154	4.620295005	4.66795216	4.245032501	4.909540311	4.641348415	4.72365101	4.6462384	4.680993246	-0.252979499
4.476223174	4.424218389	4.378093709	4.016972337	4.415880045	4.523510709	4.472839076	4.515963503	4.471708494	4.742515811	4.667030191	4.663404809	4.265778149	4.913777174	4.673043438	4.711849012	4.633918643	4.675438649	-0.259558604
4.510654378	4.414580548	4.376655513	4.094775363	4.402503106	4.495269459	4.467193499	4.498586212	4.456890031	4.761157767	4.630259789	4.632731979	4.325938398	4.927794158	4.629021399	4.69958264	4.632731979	4.667908437	-0.246150826
4.514033894	4.474161503	4.381897526	4.171681209	4.392988213	4.51185998	4.474161503	4.506404429	4.463939949	4.741807668	4.631679125	4.630452884	4.402697487	4.918441658	4.620588439	4.679535147	4.618107048	4.66185643	-0.238690913
4.529557296	4.482269762	4.391566073	4.151636302	4.423122089	4.490121737	4.476623219	4.513314383	4.469805011	4.758586032	4.635173819	4.630204865	4.398619807	4.901248663	4.63144942	4.690609699	4.585639884	4.675252043	-0.248552133
4.533928096	4.494535694	4.38619455	4.162740005	4.341686251	4.501209801	4.483312232	4.514425853	4.457009972	4.704085179	4.626399073	4.59784344	4.388458705	4.831510767	4.592792924	4.667172107	4.617794226	4.660096606	-0.224164698
4.536934372	4.535858525	4.404937899	4.201536826	4.418344559	4.51409488	4.497455561	4.519580357	4.496336367	4.710981691	4.577762847	4.604891514	4.397439293	4.854447165	4.607321649	4.66851721	4.597565474	4.659342834	-0.191401333
4.569301926	4.521292707	4.438148656	4.193092177	4.446427828	4.543984119	4.522385007	4.533242877	4.511407948	4.695604434	4.55520331	4.60888346	4.330833517	4.841965842	4.558873039	4.638633937	4.564959485	4.6363766	-0.148420313
4.607676156	4.516656757	4.453358795	4.126409334	4.476427869	4.563724268	4.535105463	4.558485912	4.506750237	4.719402073	4.571556262	4.614611196	4.265069875	4.865166034	4.565593215	4.642687155	4.576301229	4.627061837	-0.137043725
