@lpm0	lpm1	lpm2	lpm3	lpm4	lpm5	lpm6	lpm7	lpm8	lfp0	lfp1	lfp2	lfp3	lfp4	lfp5	lfp6	lfp7	lfp8	llcusd@
4.568836144	4.411671901	4.492797446	3.868643137	4.60042811	4.493879112	4.477529974	4.504631904	4.459791149	4.732107412	4.575038087	4.639416749	4.129789448	4.833854851	4.595291944	4.707769927	4.644201447	4.646585238	-0.249097972
4.583936255	4.398860417	4.489215292	3.878931228	4.580984949	4.496746258	4.487053129	4.483801094	4.465170418	4.75294971	4.669190368	4.692528651	4.157971121	4.830232411	4.626990014	4.733212227	4.636794014	4.67154886	-0.269148616
4.568161686	4.412868802	4.494053714	3.845220842	4.604669102	4.473829501	4.478121353	4.471676648	4.437700777	4.788459184	4.666142862	4.720405721	4.167224585	4.885562015	4.661173908	4.76291643	4.688202581	4.690623889	-0.334174279
4.56541318	4.392644284	4.488060289	3.853481463	4.616020637	4.483818501	4.478490838	4.464504596	4.423592313	4.800191917	4.886835309	4.728119569	4.211742781	4.926523057	4.693112977	4.794657869	4.696791706	4.693112977	-0.354277249
4.547806258	4.3954909	4.463160454	3.862643152	4.5705908	4.492179148	4.477237568	4.449987925	4.410546193	4.764135519	4.614858326	4.715627164	4.212660127	4.913604618	4.657145216	4.768634964	4.672089454	4.663399145	-0.334237555
4.557683425	4.395222908	4.477061271	3.847510295	4.579295268	4.490957807	4.487768011	4.468412568	4.430797514	4.783846724	4.529026316	4.727735842	4.206252923	4.919047101	4.678238714	4.801507227	4.69541705	4.694199765	-0.340724123
4.539239521	4.373014891	4.506246838	3.77898121	4.528020638	4.499937669	4.489333116	4.467780557	4.431170812	4.784892831	4.556115462	4.740083497	4.137857002	4.915329552	4.682026082	4.808214265	4.702975708	4.705411763	-0.348088201
4.532850539	4.381955795	4.521457355	3.783574281	4.550206768	4.484317808	4.4950706	4.466869165	4.420715785	4.751011534	4.697758212	4.727051461	4.085659362	4.885810444	4.635199498	4.777709449	4.674906947	4.65649022	-0.308642482
4.532849217	4.390302763	4.530787361	3.830390019	4.561277527	4.49292795	4.506765318	4.479982785	4.445744212	4.759062925	4.616811699	4.720769958	4.122828579	4.898103973	4.634488927	4.79487793	4.671348136	4.673757776	-0.296605232
4.527201423	4.369447136	4.515831792	3.791002975	4.578289147	4.461360238	4.509575254	4.473362565	4.441403922	4.786833128	4.603408428	4.727792147	4.129423373	4.950233698	4.648723624	4.809722411	4.702924081	4.705319291	-0.329873337
4.5164984	4.351525481	4.507079178	3.795894373	4.608963628	4.49757039	4.494380595	4.467395687	4.434022178	4.78364758	4.641057722	4.712516686	4.13278312	4.908419792	4.658779705	4.788067476	4.687229366	4.699350727	-0.328359911
4.506880635	4.372897537	4.499477111	3.847915964	4.570167055	4.439316818	4.488804651	4.468207717	4.437059481	4.759908226	4.575125543	4.684510209	4.163593682	4.879799528	4.619811032	4.772123814	4.685714303	4.685714303	-0.311612672
4.511307155	4.380931999	4.48244358	3.886379804	4.590295567	4.479184479	4.503903631	4.464937663	4.456068425	4.748067458	4.626778845	4.716210384	4.209230919	4.925149482	4.660343214	4.78651261	4.674906578	4.695181572	-0.297582521
4.507504871	4.372914717	4.502199819	3.892689534	4.602333935	4.487194178	4.495796382	4.485032015	4.474150515	4.755588115	4.635585322	4.721763019	4.210555059	4.935689915	4.648007842	4.777518818	4.685565255	4.705577694	-0.294653651
4.501056591	4.356641363	4.492482048	3.94808888	4.567128088	4.489247543	4.484918532	4.474013299	4.451839441	4.741024761	4.628679931	4.698756904	4.247937961	4.894216208	4.638642654	4.751041539	4.678720878	4.682285944	-0.286945677
4.503553232	4.36020581	4.464332519	4.007574116	4.584581647	4.468767116	4.480861821	4.470977061	4.441859663	4.740660355	4.590914968	4.65545349	4.292923526	4.887213657	4.643361444	4.735126306	4.645791579	4.662639149	-0.269683293
4.506471099	4.364028908	4.432033638	3.985962774	4.581725553	4.487011025	4.484825232	4.479339755	4.442360752	4.734634754	4.618629983	4.640528668	4.252953125	4.878246602	4.601259819	4.719181908	4.625982957	4.642932515	-0.250904212
4.543969083	4.368038642	4.455358233	3.946414077	4.61674658	4.494144258	4.482115682	4.488694653	4.46099205	4.752687044	4.618692224	4.658673321	4.220002627	4.895499558	4.627307662	4.72083372	4.634633702	4.653911407	-0.253122719
4.530999817	4.400160216	4.463802278	3.945098167	4.602784037	4.500129883	4.484879043	4.485976136	4.462680573	4.749279154	4.620295005	4.66795216	4.245032501	4.909540311	4.641348415	4.72365101	4.6462384	4.680993246	-0.266597914
4.526074787	4.397621822	4.425825807	3.989770078	4.575164398	4.490871152	4.464466978	4.487608507	4.461116891	4.742515811	4.667030191	4.663404809	4.265778149	4.913777174	4.673043438	4.711849012	4.633918643	4.675438649	-0.28139892
4.518343895	4.406244571	4.43200712	4.027119879	4.606591694	4.477212556	4.457122595	4.476106973	4.46162204	4.761157767	4.630259789	4.632731979	4.325938398	4.927794158	4.629021399	4.69958264	4.632731979	4.667908437	-0.266420118
4.520884514	4.408279742	4.458261091	4.117015576	4.638312499	4.497176507	4.459394236	4.489513635	4.455990943	4.741807668	4.631679125	4.630452884	4.402697487	4.918441658	4.620588439	4.679535147	4.618107048	4.66185643	-0.251195735
4.525683342	4.420322826	4.444842443	4.109522944	4.599487316	4.497634038	4.45745006	4.484417986	4.459725374	4.758586032	4.635173819	4.630204865	4.398619807	4.901248663	4.63144942	4.690609699	4.585639884	4.675252043	-0.262046685
4.531072065	4.438630109	4.440961112	4.143530473	4.588939448	4.486475225	4.465114098	4.48980671	4.468517391	4.704085179	4.626399073	4.59784344	4.388458705	4.831510767	4.592792924	4.667172107	4.617794226	4.660096606	-0.235567789
4.537175242	4.432996061	4.451710057	4.177456155	4.605032717	4.49923031	4.471217274	4.488119085	4.495909886	4.710981691	4.577762847	4.604891514	4.397439293	4.854447165	4.607321649	4.66851721	4.597565474	4.659342834	-0.201855753
