@lpm0	lpm1	lpm2	lpm3	lpm4	lpm5	lpm6	lpm7	lpm8	lfp0	lfp1	lfp2	lfp3	lfp4	lfp5	lfp6	lfp7	lfp8	llcusd@
4.505018094	4.343006621	4.445770759	3.957078836	4.616496006	4.423136048	4.384955376	4.382790873	4.344133382	4.732107412	4.575038087	4.639416749	4.129789448	4.833854851	4.595291944	4.707769927	4.644201447	4.646585238	-0.358021708
4.50678394	4.353274081	4.474538841	3.851377088	4.634771146	4.468562728	4.397140763	4.389601686	4.35886381	4.75294971	4.669190368	4.692528651	4.157971121	4.830232411	4.626990014	4.733212227	4.636794014	4.67154886	-0.367681725
4.529909895	4.377822544	4.481072065	3.833898751	4.648434103	4.458803939	4.40086251	4.392147858	4.357642487	4.788459184	4.666142862	4.720405721	4.167224585	4.885562015	4.661173908	4.76291643	4.688202581	4.690623889	-0.398501908
4.531336437	4.364715571	4.415220266	3.933586095	4.55302517	4.469400183	4.41842711	4.43009833	4.337316597	4.800191917	4.886835309	4.728119569	4.211742781	4.926523057	4.693112977	4.794657869	4.696791706	4.693112977	-0.415408783
4.516860627	4.338400079	4.511041018	3.878289548	4.630983415	4.481423848	4.411929849	4.400044242	4.337243341	4.764135519	4.614858326	4.715627164	4.212660127	4.913604618	4.657145216	4.768634964	4.672089454	4.663399145	-0.400619965
4.522866534	4.349335403	4.430431296	3.935271789	4.539993499	4.485716612	4.43881709	4.409153898	4.353891219	4.783846724	4.529026316	4.727735842	4.206252923	4.919047101	4.678238714	4.801507227	4.69541705	4.694199765	-0.409707344
4.485393599	4.342215598	4.464105416	3.885091632	4.67819168	4.479357363	4.437104814	4.422258306	4.377466547	4.784892831	4.556115462	4.740083497	4.137857002	4.915329552	4.682026082	4.808214265	4.702975708	4.705411763	-0.413028539
4.500594024	4.38355036	4.503548236	3.825042605	4.705023113	4.481678577	4.442739231	4.421619122	4.402221962	4.751011534	4.697758212	4.727051461	4.085659362	4.885810444	4.635199498	4.777709449	4.674906947	4.65649022	-0.384230712
4.50307074	4.409932113	4.490141668	3.874956029	4.615128149	4.458618977	4.440900952	4.423933419	4.422863328	4.759062925	4.616811699	4.720769958	4.122828579	4.898103973	4.634488927	4.79487793	4.671348136	4.673757776	-0.367741091
4.511417782	4.393758624	4.475086844	3.915471056	4.682276467	4.470967373	4.460593836	4.435249291	4.402637705	4.786833128	4.603408428	4.727792147	4.129423373	4.950233698	4.648723624	4.809722411	4.702924081	4.705319291	-0.381987917
4.521896414	4.402507945	4.503967647	3.960798779	4.70946905	4.460839814	4.455579412	4.467115985	4.41136736	4.78364758	4.641057722	4.712516686	4.13278312	4.908419792	4.658779705	4.788067476	4.687229366	4.699350727	-0.376700116
4.534406785	4.431541254	4.535383825	3.919270021	4.765534022	4.44231722	4.478110515	4.485323323	4.391757002	4.759908226	4.575125543	4.684510209	4.163593682	4.879799528	4.619811032	4.772123814	4.685714303	4.685714303	-0.359172489
4.552972334	4.55489172	4.514788547	3.980060085	4.769755644	4.46149725	4.478199099	4.47196855	4.397379693	4.748067458	4.626778845	4.716210384	4.209230919	4.925149482	4.660343214	4.78651261	4.674906578	4.695181572	-0.348445612
4.571738678	4.52119342	4.559339855	3.938379416	4.712941988	4.465851431	4.466904617	4.456322508	4.427178513	4.755588115	4.635585322	4.721763019	4.210555059	4.935689915	4.648007842	4.777518818	4.685565255	4.705577694	-0.340530962
4.568341942	4.407097357	4.512125591	3.967845251	4.648892025	4.454673897	4.450441086	4.467265878	4.431168541	4.741024761	4.628679931	4.698756904	4.247937961	4.894216208	4.638642654	4.751041539	4.678720878	4.682285944	-0.343944182
4.544171365	4.529768812	4.500326057	4.119456384	4.70578426	4.473065409	4.430194233	4.458632168	4.403121654	4.740660355	4.590914968	4.65545349	4.292923526	4.887213657	4.643361444	4.735126306	4.645791579	4.662639149	-0.343042292
4.546654026	4.47327148	4.490383121	3.955654659	4.665694133	4.441293511	4.433928932	4.454828335	4.396269829	4.734634754	4.618629983	4.640528668	4.252953125	4.878246602	4.601259819	4.719181908	4.625982957	4.642932515	-0.337269034
4.528581991	4.474408233	4.456021607	3.862859697	4.603374566	4.44565882	4.410679101	4.466278107	4.397649601	4.752687044	4.618692224	4.658673321	4.220002627	4.895499558	4.627307662	4.72083372	4.634633702	4.653911407	-0.344167771
4.49469768	4.461478722	4.415397271	4.087250411	4.649413971	4.426058353	4.42180755	4.430291164	4.418607547	4.749279154	4.620295005	4.66795216	4.245032501	4.909540311	4.641348415	4.72365101	4.6462384	4.680993246	-0.359941989
4.504678598	4.429963553	4.460316485	3.850220962	4.604104378	4.420353228	4.397563311	4.466483	4.434205341	4.742515811	4.667030191	4.663404809	4.265778149	4.913777174	4.673043438	4.711849012	4.633918643	4.675438649	-0.363789622
4.509161185	4.47217546	4.443247824	3.966090787	4.63703381	4.427399631	4.417768738	4.461939957	4.450558561	4.761157767	4.630259789	4.632731979	4.325938398	4.927794158	4.629021399	4.69958264	4.632731979	4.667908437	-0.353113579
4.523380594	4.489147423	4.431813401	3.95313155	4.602831411	4.426530768	4.410513341	4.446458014	4.451636689	4.741807668	4.631679125	4.630452884	4.402697487	4.918441658	4.620588439	4.679535147	4.618107048	4.66185643	-0.350860168
