@lpm0	lpm1	lpm2	lpm3	lpm4	lpm5	lpm6	lpm7	lpm8	lfp0	lfp1	lfp2	lfp3	lfp4	lfp5	lfp6	lfp7	lfp8	llcusd@
4.463462214	4.64228114	4.433891757	4.040359965	4.570569455	4.427871269	4.42907827	4.497829858	4.436289839	4.732107412	4.575038087	4.639416749	4.129789448	4.833854851	4.595291944	4.707769927	4.644201447	4.646585238	-0.204325232
4.463650385	4.626345977	4.493815085	4.123165396	4.557996399	4.476523588	4.470692667	4.442220993	4.448219812	4.75294971	4.669190368	4.692528651	4.157971121	4.830232411	4.626990014	4.733212227	4.636794014	4.67154886	-0.207898475
4.477582243	4.689739297	4.482321588	4.055350275	4.566175899	4.504531736	4.477582243	4.504531736	4.453542624	4.788459184	4.666142862	4.720405721	4.167224585	4.885562015	4.661173908	4.76291643	4.688202581	4.690623889	-0.231016965
4.459698065	4.682115839	4.529738352	4.125400004	4.567353406	4.496497469	4.487129719	4.475295261	4.438927617	4.800191917	4.886835309	4.728119569	4.211742781	4.926523057	4.693112977	4.794657869	4.696791706	4.693112977	-0.249259242
4.437390776	4.536481678	4.48758052	4.114792438	4.560605655	4.506056796	4.469943379	4.486414339	4.415085018	4.764135519	4.614858326	4.715627164	4.212660127	4.913604618	4.657145216	4.768634964	4.672089454	4.663399145	-0.243314116
4.457092493	4.557633722	4.471412547	3.996658315	4.577010001	4.530083771	4.508626143	4.502902029	4.429058969	4.783846724	4.529026316	4.727735842	4.206252923	4.919047101	4.678238714	4.801507227	4.69541705	4.694199765	-0.250416603
4.462628963	4.496850592	4.475747816	3.932000712	4.572779907	4.544424682	4.49916809	4.495689826	4.420956267	4.784892831	4.556115462	4.740083497	4.137857002	4.915329552	4.682026082	4.808214265	4.702975708	4.705411763	-0.256076047
4.451685824	4.537089484	4.468412618	3.948860243	4.487192513	4.492989631	4.4825305	4.461278224	4.438344208	4.751011534	4.697758212	4.727051461	4.085659362	4.885810444	4.635199498	4.777709449	4.674906947	4.65649022	-0.232906428
4.462062747	4.538627827	4.472694861	4.041640734	4.524223146	4.532005286	4.494775944	4.49592471	4.470341919	4.759062925	4.616811699	4.720769958	4.122828579	4.898103973	4.634488927	4.79487793	4.671348136	4.673757776	-0.224845248
4.47769457	4.452558597	4.504518336	4.004375759	4.549520305	4.510255586	4.517097118	4.499904717	4.441589566	4.786833128	4.603408428	4.727792147	4.129423373	4.950233698	4.648723624	4.809722411	4.702924081	4.705319291	-0.239515468
4.470966993	4.524530436	4.499270769	4.020859804	4.542508448	4.513127804	4.50159365	4.457721766	4.458933153	4.78364758	4.641057722	4.712516686	4.13278312	4.908419792	4.658779705	4.788067476	4.687229366	4.699350727	-0.235586647
