@lpm0	lpm1	lpm2	lpm3	lpm4	lpm5	lpm6	lpm7	lpm8	lfp0	lfp1	lfp2	lfp3	lfp4	lfp5	lfp6	lfp7	lfp8	llcusd@
4.631079983	4.47003794	4.543977236	3.895853737	4.515054196	4.557049317	4.530732009	4.568883775	4.520681673	4.732107412	4.575038087	4.639416749	4.129789448	4.833854851	4.595291944	4.707769927	4.644201447	4.646585238	-0.184846101
4.617450542	4.435544699	4.549719126	3.918046824	4.515779217	4.608050995	4.544141867	4.573896128	4.536281074	4.75294971	4.669190368	4.692528651	4.157971121	4.830232411	4.626990014	4.733212227	4.636794014	4.67154886	-0.179053582
4.658081055	4.443623769	4.597388274	3.926018458	4.608909139	4.644908527	4.581032769	4.612339674	4.553568357	4.788459184	4.666142862	4.720405721	4.167224585	4.885562015	4.661173908	4.76291643	4.688202581	4.690623889	-0.135845611
4.702872562	4.459064871	4.639553247	3.989061242	4.668933891	4.685499703	4.637257034	4.652089023	4.581720023	4.800191917	4.886835309	4.728119569	4.211742781	4.926523057	4.693112977	4.794657869	4.696791706	4.693112977	-0.122388788
4.687730676	4.524539601	4.652861851	4.016155981	4.788407343	4.660360547	4.621182522	4.63660133	4.566436812	4.764135519	4.614858326	4.715627164	4.212660127	4.913604618	4.657145216	4.768634964	4.672089454	4.663399145	-0.158613272
4.677632755	4.515237137	4.654301898	3.99905399	4.787699161	4.670268176	4.638076556	4.626008389	4.575063588	4.783846724	4.529026316	4.727735842	4.206252923	4.919047101	4.678238714	4.801507227	4.69541705	4.694199765	-0.166707572
4.662261136	4.520702438	4.646294857	3.884308074	4.799218543	4.669625714	4.637674114	4.650577519	4.576305168	4.784892831	4.556115462	4.740083497	4.137857002	4.915329552	4.682026082	4.808214265	4.702975708	4.705411763	-0.184709325
4.632225491	4.471562424	4.640611284	3.827852675	4.821540083	4.613096321	4.6290626	4.610948093	4.549987393	4.751011534	4.697758212	4.727051461	4.085659362	4.885810444	4.635199498	4.777709449	4.674906947	4.65649022	-0.187403046
4.631485177	4.464335895	4.627287899	3.858818712	4.812933752	4.623072929	4.624128339	4.594147506	4.559871072	4.759062925	4.616811699	4.720769958	4.122828579	4.898103973	4.634488927	4.79487793	4.671348136	4.673757776	-0.181354145
4.635335746	4.535868	4.603998768	3.860193599	4.673942523	4.592961129	4.62356461	4.613829541	4.590738906	4.786833128	4.603408428	4.727792147	4.129423373	4.950233698	4.648723624	4.809722411	4.702924081	4.705319291	-0.187234807
4.630181961	4.47283809	4.604346293	3.858584852	4.709815854	4.609784045	4.605436212	4.607612491	4.576704954	4.78364758	4.641057722	4.712516686	4.13278312	4.908419792	4.658779705	4.788067476	4.687229366	4.699350727	-0.194686205
4.620084992	4.521170441	4.574622618	3.906627119	4.667614599	4.577939371	4.595445288	4.613715544	4.575729425	4.759908226	4.575125543	4.684510209	4.163593682	4.879799528	4.619811032	4.772123814	4.685714303	4.685714303	-0.194184443
4.613220677	4.51874872	4.581269077	3.977115435	4.747406991	4.581269077	4.595240288	4.602683172	4.578017042	4.748067458	4.626778845	4.716210384	4.209230919	4.925149482	4.660343214	4.78651261	4.674906578	4.695181572	-0.200923872
4.602460029	4.534066588	4.556289725	3.939289253	4.778113725	4.55519022	4.57371936	4.5908504	4.575876858	4.755588115	4.635585322	4.721763019	4.210555059	4.935689915	4.648007842	4.777518818	4.685565255	4.705577694	-0.208128469
4.605572121	4.494103133	4.515830689	3.987123668	4.722550513	4.551389991	4.564405359	4.581499792	4.567632903	4.741024761	4.628679931	4.698756904	4.247937961	4.894216208	4.638642654	4.751041539	4.678720878	4.682285944	-0.21394536
4.60670489	4.573506821	4.47492124	4.052431946	4.750009794	4.551105884	4.541349709	4.58295571	4.546781553	4.740660355	4.590914968	4.65545349	4.292923526	4.887213657	4.643361444	4.735126306	4.645791579	4.662639149	-0.21246873
4.600210097	4.572615091	4.467830115	4.019455103	4.68056293	4.525947026	4.530280727	4.571578284	4.545302469	4.734634754	4.618629983	4.640528668	4.252953125	4.878246602	4.601259819	4.719181908	4.625982957	4.642932515	-0.217411884
4.595088892	4.482082736	4.435885145	3.945341027	4.664216163	4.552879848	4.513196357	4.573692253	4.544432068	4.752687044	4.618692224	4.658673321	4.220002627	4.895499558	4.627307662	4.72083372	4.634633702	4.653911407	-0.227527522
4.578648095	4.473516177	4.424325932	3.943459191	4.740703954	4.530166525	4.491636718	4.569345702	4.547297565	4.749279154	4.620295005	4.66795216	4.245032501	4.909540311	4.641348415	4.72365101	4.6462384	4.680993246	-0.237641769
4.580824345	4.486954939	4.400765931	3.948604642	4.871847893	4.5290431	4.474433433	4.581853681	4.545181159	4.742515811	4.667030191	4.663404809	4.265778149	4.913777174	4.673043438	4.711849012	4.633918643	4.675438649	-0.244312159
4.569021428	4.519249377	4.418822983	4.039425702	4.84292094	4.539669216	4.462282553	4.551303404	4.539669216	4.761157767	4.630259789	4.632731979	4.325938398	4.927794158	4.629021399	4.69958264	4.632731979	4.667908437	-0.24190839
4.560610799	4.555415982	4.419500798	4.13578856	4.859371176	4.53754898	4.458124674	4.543891496	4.532232646	4.741807668	4.631679125	4.630452884	4.402697487	4.918441658	4.620588439	4.679535147	4.618107048	4.66185643	-0.238782073
4.564261643	4.59899445	4.420280834	4.12173565	4.662214331	4.541127067	4.462590318	4.547489761	4.553812227	4.758586032	4.635173819	4.630204865	4.398619807	4.901248663	4.63144942	4.690609699	4.585639884	4.675252043	-0.246602959
4.562524774	4.497642905	4.412826919	4.121949955	4.639790914	4.543813209	4.459564397	4.559430393	4.546956219	4.704085179	4.626399073	4.59784344	4.388458705	4.831510767	4.592792924	4.667172107	4.617794226	4.660096606	-0.236561673
4.556438071	4.510951648	4.428651705	4.154585871	4.587992852	4.533424504	4.468956527	4.543950916	4.558504188	4.710981691	4.577762847	4.604891514	4.397439293	4.854447165	4.607321649	4.66851721	4.597565474	4.659342834	-0.210911543
4.578440026	4.550415359	4.449722296	4.139673194	4.581505946	4.532358575	4.490777092	4.538768853	4.572279842	4.695604434	4.55520331	4.60888346	4.330833517	4.841965842	4.558873039	4.638633937	4.564959485	4.6363766	-0.156835581
4.631559972	4.521946219	4.47724604	4.05390787	4.595663795	4.558430952	4.519758034	4.555264722	4.593631274	4.719402073	4.571556262	4.614611196	4.265069875	4.865166034	4.565593215	4.642687155	4.576301229	4.627061837	-0.133942449
4.64832731	4.555984917	4.486315837	3.990039994	4.596175798	4.546476129	4.528264592	4.571634689	4.588062163	4.731547183	4.578068999	4.629656367	4.190674916	4.856591604	4.588601571	4.637447169	4.569799607	4.61615785	-0.134361794
4.661141908	4.552523547	4.503996506	3.987630702	4.655460074	4.533394377	4.533394377	4.57438803	4.567152857	4.748350944	4.61082753	4.643433004	4.220110279	4.858580067	4.625575387	4.650048243	4.575940271	4.609684019	-0.140542082
4.64985539	4.572742101	4.493641054	3.965235026	4.625781045	4.510188591	4.532904548	4.571713824	4.578889662	4.74219503	4.596269434	4.631202563	4.186782487	4.842986153	4.596269434	4.637825104	4.567180705	4.608805211	-0.133121991
4.666234223	4.536441152	4.506135803	3.980549763	4.667170114	4.553354875	4.545990296	4.582282512	4.583300323	4.727676308	4.582769187	4.606220848	4.172206362	4.736435488	4.548283011	4.621555212	4.552950464	4.596237404	-0.104490339
4.666575941	4.600724468	4.551483752	4.060440137	4.714160398	4.599722966	4.556727603	4.594700354	4.600724468	4.724169962	4.621979021	4.624086503	4.190871482	4.783336939	4.576663824	4.624086503	4.531509427	4.593084555	-0.073654829
4.690531877	4.562450089	4.543640757	4.050588732	4.658136633	4.542585348	4.564518342	4.585980586	4.601033555	4.766190789	4.619192993	4.650161832	4.222367248	4.769929111	4.557686747	4.648056568	4.57597297	4.628907047	-0.103361515
4.667741376	4.569527077	4.532738904	4.081823871	4.642159688	4.544447393	4.543388631	4.573646547	4.602017245	4.775163101	4.633224879	4.641901723	4.253567655	4.760883944	4.587534481	4.645136227	4.574912397	4.621169939	-0.117765023
4.668817375	4.571443211	4.53139571	4.096468569	4.69106111	4.553725187	4.539961073	4.573507195	4.591893822	4.783481302	4.678014859	4.647905058	4.264039062	4.829134315	4.606673591	4.658762928	4.57547522	4.635823637	-0.131677569
