@lpm0	lpm1	lpm2	lpm3	lpm4	lpm5	lpm6	lpm7	lpm8	lfp0	lfp1	lfp2	lfp3	lfp4	lfp5	lfp6	lfp7	lfp8	llcusd@
4.501157417	4.437697063	4.420305321	3.857467975	4.587899071	4.515083727	4.481548946	4.479346302	4.394237494	4.732107412	4.575038087	4.639416749	4.129789448	4.833854851	4.595291944	4.707769927	4.644201447	4.646585238	-0.243979495
4.485536736	4.44892699	4.478979335	3.873939422	4.587951741	4.49421358	4.455683773	4.451184328	4.410925872	4.75294971	4.669190368	4.692528651	4.157971121	4.830232411	4.626990014	4.733212227	4.636794014	4.67154886	-0.264150329
4.483726429	4.462103965	4.418545991	3.823196553	4.638029886	4.462103965	4.455524994	4.427636962	4.37300397	4.788459184	4.666142862	4.720405721	4.167224585	4.885562015	4.661173908	4.76291643	4.688202581	4.690623889	-0.329639294
4.463963656	4.400950688	4.372680254	3.869392853	4.661257983	4.473730418	4.465053574	4.409047898	4.342356524	4.800191917	4.886835309	4.728119569	4.211742781	4.926523057	4.693112977	4.794657869	4.696791706	4.693112977	-0.348296428
4.406688345	4.39149226	4.405527579	3.873969743	4.601117285	4.475062309	4.442019655	4.398534543	4.351847429	4.764135519	4.614858326	4.715627164	4.212660127	4.913604618	4.657145216	4.768634964	4.672089454	4.663399145	-0.328857463
4.42491456	4.435136114	4.413433378	3.841910959	4.641644897	4.479342207	4.467379041	4.459690919	4.37338091	4.783846724	4.529026316	4.727735842	4.206252923	4.919047101	4.678238714	4.801507227	4.69541705	4.694199765	-0.334128186
4.425952683	4.393429491	4.371948951	3.756522029	4.615864409	4.484760529	4.453011831	4.437316441	4.364684997	4.784892831	4.556115462	4.740083497	4.137857002	4.915329552	4.682026082	4.808214265	4.702975708	4.705411763	-0.341942572
4.422103192	4.427873548	4.364944778	3.780827842	4.582188607	4.47507332	4.469569729	4.419785694	4.385564065	4.751011534	4.697758212	4.727051461	4.085659362	4.885810444	4.635199498	4.777709449	4.674906947	4.65649022	-0.302636129
4.462718603	4.417256229	4.425362817	3.798050894	4.655173826	4.456029615	4.496583117	4.448168822	4.402024535	4.759062925	4.616811699	4.720769958	4.122828579	4.898103973	4.634488927	4.79487793	4.671348136	4.673757776	-0.290804141
4.464855815	4.444855149	4.421003933	3.768402847	4.641845987	4.458233275	4.48661946	4.464855815	4.418702436	4.786833128	4.603408428	4.727792147	4.129423373	4.950233698	4.648723624	4.809722411	4.702924081	4.705319291	-0.324179957
4.442016431	4.436357106	4.412231869	3.799485114	4.640941298	4.462128841	4.474223545	4.435221388	4.39581884	4.78364758	4.641057722	4.712516686	4.13278312	4.908419792	4.658779705	4.788067476	4.687229366	4.699350727	-0.322625546
4.462013461	4.429334497	4.40381107	3.879975209	4.648575828	4.438456567	4.469744035	4.445243923	4.40381107	4.759908226	4.575125543	4.684510209	4.163593682	4.879799528	4.619811032	4.772123814	4.685714303	4.685714303	-0.305685567
4.463549341	4.35062102	4.431908283	3.884842574	4.646056272	4.444458362	4.475710906	4.473510685	4.411025854	4.748067458	4.626778845	4.716210384	4.209230919	4.925149482	4.660343214	4.78651261	4.674906578	4.695181572	-0.291214571
4.474009095	4.435845092	4.453986179	3.883354887	4.657614703	4.447221779	4.474009095	4.47069966	4.403284076	4.755588115	4.635585322	4.721763019	4.210555059	4.935689915	4.648007842	4.777518818	4.685565255	4.705577694	-0.288208878
4.478435737	4.419595237	4.414922332	3.982155825	4.618675349	4.450578783	4.465161206	4.472926082	4.409050324	4.741024761	4.628679931	4.698756904	4.247937961	4.894216208	4.638642654	4.751041539	4.678720878	4.682285944	-0.280327848
4.494703588	4.470499987	4.444553805	4.031632396	4.624014129	4.474944438	4.464916499	4.467153637	4.396563321	4.740660355	4.590914968	4.65545349	4.292923526	4.887213657	4.643361444	4.735126306	4.645791579	4.662639149	-0.26129113
4.524697913	4.453356645	4.439610724	4.006073597	4.640595934	4.46354349	4.46579321	4.471395465	4.407973639	4.734634754	4.618629983	4.640528668	4.252953125	4.878246602	4.601259819	4.719181908	4.625982957	4.642932515	-0.243327126
4.533159632	4.434900841	4.458970771	3.965361141	4.652926912	4.473585983	4.466867033	4.50001924	4.412612528	4.752687044	4.618692224	4.658673321	4.220002627	4.895499558	4.627307662	4.72083372	4.634633702	4.653911407	-0.247247737
4.533477361	4.459369389	4.468378459	3.979361129	4.662402573	4.465009562	4.447992702	4.489455224	4.438797235	4.749279154	4.620295005	4.66795216	4.245032501	4.909540311	4.641348415	4.72365101	4.6462384	4.680993246	-0.262021733
4.510474099	4.431500339	4.447574164	3.99249281	4.624566435	4.467867983	4.428022075	4.467867983	4.434966547	4.742515811	4.667030191	4.663404809	4.265778149	4.913777174	4.673043438	4.711849012	4.633918643	4.675438649	-0.276882465
4.50616094	4.348768766	4.452992272	4.090939657	4.658923695	4.476602138	4.418266561	4.439246351	4.434622066	4.761157767	4.630259789	4.632731979	4.325938398	4.927794158	4.629021399	4.69958264	4.632731979	4.667908437	-0.261490356
4.509318216	4.392346539	4.447949269	4.145194448	4.677287632	4.445645121	4.42348678	4.475192725	4.443335651	4.741807668	4.631679125	4.630452884	4.402697487	4.918441658	4.620588439	4.679535147	4.618107048	4.66185643	-0.246658626
4.518379161	4.5205297	4.442364927	4.118816941	4.680036579	4.465328049	4.409304065	4.438874522	4.442364927	4.758586032	4.635173819	4.630204865	4.398619807	4.901248663	4.63144942	4.690609699	4.585639884	4.675252043	-0.257579729
4.501512554	4.517879532	4.417796073	4.156866186	4.67388378	4.458809437	4.420185561	4.454206437	4.422569352	4.704085179	4.626399073	4.59784344	4.388458705	4.831510767	4.592792924	4.667172107	4.617794226	4.660096606	-0.231592519
4.528055763	4.561957315	4.465813454	4.203793168	4.693533673	4.486245493	4.501853391	4.489610611	4.469247917	4.710981691	4.577762847	4.604891514	4.397439293	4.854447165	4.607321649	4.66851721	4.597565474	4.659342834	-0.198127089
4.555223232	4.546793256	4.517805719	4.125327806	4.717584752	4.511248319	4.475530236	4.510151226	4.507953423	4.695604434	4.55520331	4.60888346	4.330833517	4.841965842	4.558873039	4.638633937	4.564959485	4.6363766	-0.155180627
4.577390482	4.590635709	4.552467074	4.056255489	4.751128295	4.507298105	4.489539592	4.530137597	4.496236045	4.719402073	4.571556262	4.614611196	4.265069875	4.865166034	4.565593215	4.642687155	4.576301229	4.627061837	-0.142011591
4.58358263	4.554504777	4.561853891	4.012644025	4.753545636	4.539642508	4.49815184	4.52780805	4.483553041	4.731547183	4.578068999	4.629656367	4.190674916	4.856591604	4.588601571	4.637447169	4.569799607	4.61615785	-0.133736671
4.588965698	4.631779604	4.545299718	4.031636206	4.752806236	4.569447873	4.506291522	4.510701672	4.467998555	4.748350944	4.61082753	4.643433004	4.220110279	4.858580067	4.625575387	4.650048243	4.575940271	4.609684019	-0.138247065
4.567115963	4.642414943	4.582636192	4.016582889	4.722308852	4.525598558	4.50028075	4.556633687	4.49469102	4.74219503	4.596269434	4.631202563	4.186782487	4.842986153	4.596269434	4.637825104	4.567180705	4.608805211	-0.124255122
