@lpm0	lpm1	lpm2	lpm3	lpm4	lpm5	lpm6	lpm7	lpm8	lfp0	lfp1	lfp2	lfp3	lfp4	lfp5	lfp6	lfp7	lfp8	llcusd@
4.429797226	4.470898902	4.515739656	3.857278033	4.324177677	4.503905198	4.555577209	4.513598328	4.50173835	4.732107412	4.575038087	4.639416749	4.129789448	4.833854851	4.595291944	4.707769927	4.644201447	4.646585238	-0.23799022
4.416613157	4.421319048	4.528087024	3.89630879	4.385472917	4.517482471	4.581487801	4.533347425	4.515347998	4.75294971	4.669190368	4.692528651	4.157971121	4.830232411	4.626990014	4.733212227	4.636794014	4.67154886	-0.253757152
4.405348186	4.437940087	4.53841935	3.859139058	4.358886597	4.533034307	4.579456144	4.559674135	4.48094497	4.788459184	4.666142862	4.720405721	4.167224585	4.885562015	4.661173908	4.76291643	4.688202581	4.690623889	-0.270659122
4.454694127	4.397818478	4.547597566	3.921177092	4.421703963	4.522083149	4.605060181	4.563893419	4.523206113	4.800191917	4.886835309	4.728119569	4.211742781	4.926523057	4.693112977	4.794657869	4.696791706	4.693112977	-0.260290925
4.392011542	4.373684823	4.472240487	3.845027501	4.473357182	4.505210506	4.559903421	4.507370334	4.420653118	4.764135519	4.614858326	4.715627164	4.212660127	4.913604618	4.657145216	4.768634964	4.672089454	4.663399145	-0.300873768
4.372182737	4.303013046	4.56210733	3.890226774	4.47667654	4.539332019	4.578351342	4.542468456	4.459812734	4.783846724	4.529026316	4.727735842	4.206252923	4.919047101	4.678238714	4.801507227	4.69541705	4.694199765	-0.306055977
4.368664687	4.358689542	4.513913759	3.816465497	4.426512138	4.553877016	4.577311609	4.525647227	4.464425927	4.784892831	4.556115462	4.740083497	4.137857002	4.915329552	4.682026082	4.808214265	4.702975708	4.705411763	-0.317090423
4.379393192	4.407089123	4.530924012	3.730432304	4.461406344	4.569014051	4.563950749	4.507568386	4.475923628	4.751011534	4.697758212	4.727051461	4.085659362	4.885810444	4.635199498	4.777709449	4.674906947	4.65649022	-0.291857444
4.399115383	4.469951721	4.547576883	3.801168979	4.485524894	4.493221469	4.576208695	4.517032117	4.496501953	4.759062925	4.616811699	4.720769958	4.122828579	4.898103973	4.634488927	4.79487793	4.671348136	4.673757776	-0.274642393
4.438321818	4.433670646	4.561504018	3.821103953	4.430168016	4.519613076	4.579797211	4.517471748	4.47700696	4.786833128	4.603408428	4.727792147	4.129423373	4.950233698	4.648723624	4.809722411	4.702924081	4.705319291	-0.297624131
