@lpm0	lpm1	lpm2	lpm3	lpm4	lpm5	lpm6	lpm7	lpm8	lfp0	lfp1	lfp2	lfp3	lfp4	lfp5	lfp6	lfp7	lfp8	llcusd@
4.490862259	4.318249517	4.516041477	3.862115009	4.447820508	4.516041477	4.504078311	4.543761802	4.455889716	4.732107412	4.575038087	4.639416749	4.129789448	4.833854851	4.595291944	4.707769927	4.644201447	4.646585238	-0.226935607
4.522950066	4.350228583	4.529360344	3.852061356	4.476889293	4.536787434	4.520804142	4.538899367	4.447274372	4.75294971	4.669190368	4.692528651	4.157971121	4.830232411	4.626990014	4.733212227	4.636794014	4.67154886	-0.242944809
4.512720476	4.455299422	4.546733628	3.846006552	4.50712449	4.549964649	4.539153733	4.546733628	4.448181955	4.788459184	4.666142862	4.720405721	4.167224585	4.885562015	4.661173908	4.76291643	4.688202581	4.690623889	-0.258039131
4.519035234	4.384722897	4.551296097	3.863425973	4.597816112	4.521218641	4.541726645	4.542794451	4.438263664	4.800191917	4.886835309	4.728119569	4.211742781	4.926523057	4.693112977	4.794657869	4.696791706	4.693112977	-0.291041442
4.480452454	4.352921395	4.524904217	3.855854588	4.657772611	4.5259641	4.530192436	4.532299919	4.394851088	4.764135519	4.614858326	4.715627164	4.212660127	4.913604618	4.657145216	4.768634964	4.672089454	4.663399145	-0.300452603
4.479512573	4.413353903	4.525882066	3.812510673	4.604870477	4.493759389	4.541564562	4.542601368	4.416885396	4.783846724	4.529026316	4.727735842	4.206252923	4.919047101	4.678238714	4.801507227	4.69541705	4.694199765	-0.313203388
4.468297488	4.439016117	4.529640009	3.756102113	4.65135869	4.492421465	4.518091324	4.527550144	4.407672867	4.784892831	4.556115462	4.740083497	4.137857002	4.915329552	4.682026082	4.808214265	4.702975708	4.705411763	-0.328879137
4.455926487	4.369221154	4.503058498	3.710954238	4.568332829	4.451427042	4.526339973	4.522147094	4.429773774	4.751011534	4.697758212	4.727051461	4.085659362	4.885810444	4.635199498	4.777709449	4.674906947	4.65649022	-0.299584493
4.489538045	4.420623149	4.520706608	3.76309145	4.606835762	4.51433716	4.55809414	4.527035743	4.461866108	4.759062925	4.616811699	4.720769958	4.122828579	4.898103973	4.634488927	4.79487793	4.671348136	4.673757776	-0.281606301
4.500668651	4.351729592	4.515690392	3.791172332	4.405466573	4.488705485	4.553312384	4.535722691	4.460972149	4.786833128	4.603408428	4.727792147	4.129423373	4.950233698	4.648723624	4.809722411	4.702924081	4.705319291	-0.305815765
